ID;parent_ID;name;page;book_ID
f846b0b9-01d4-4f6d-82a4-d79204f62514;;Foreword;3;9b084139-0b1e-43b6-b12a-7b3669d75f02
f846b0b9-01d4-4f6d-82a4-d79204f62515;;Chapter 1;4;9b084139-0b1e-43b6-b12a-7b3669d75f02
f846b0b9-01d4-4f6d-82a4-d79204f62516;f846b0b9-01d4-4f6d-82a4-d79204f62515;Section 1.1;5;9b084139-0b1e-43b6-b12a-7b3669d75f02
f846b0b9-01d4-4f6d-82a4-d79204f62517;f846b0b9-01d4-4f6d-82a4-d79204f62515;Section 1.2;28;9b084139-0b1e-43b6-b12a-7b3669d75f02
f846b0b9-01d4-4f6d-82a4-d79204f62518;f846b0b9-01d4-4f6d-82a4-d79204f62517;Subsection 1.2.1;30;9b084139-0b1e-43b6-b12a-7b3669d75f02
f846b0b9-01d4-4f6d-82a4-d79204f62519;f846b0b9-01d4-4f6d-82a4-d79204f62517;Subsection 1.2.2;33;9b084139-0b1e-43b6-b12a-7b3669d75f02
f846b0b9-01d4-4f6d-82a4-d79204f62520;f846b0b9-01d4-4f6d-82a4-d79204f62515;Section 1.3;36;9b084139-0b1e-43b6-b12a-7b3669d75f02
f846b0b9-01d4-4f6d-82a4-d79204f62521;;Chapter 2;54;9b084139-0b1e-43b6-b12a-7b3669d75f02
f846b0b9-01d4-4f6d-82a4-d79204f62522;f846b0b9-01d4-4f6d-82a4-d79204f62521;Section 2.1;56;9b084139-0b1e-43b6-b12a-7b3669d75f02
f846b0b9-01d4-4f6d-82a4-d79204f62523;f846b0b9-01d4-4f6d-82a4-d79204f62521;Section 2.2;58;9b084139-0b1e-43b6-b12a-7b3669d75f02
f846b0b9-01d4-4f6d-82a4-d79204f62524;;Conclusion;63;9b084139-0b1e-43b6-b12a-7b3669d75f02
f846b0b9-01d4-4f6d-82a4-d79204f62525;;Endnotes;65;9b084139-0b1e-43b6-b12a-7b3669d75f02
f846b0b9-01d4-4f6d-82a4-d79204f62526;;Copyright notice;2;51061ce3-ddde-4d70-a2dc-6314afbcc73e
f846b0b9-01d4-4f6d-82a4-d79204f62527;;Chapter 1;3;51061ce3-ddde-4d70-a2dc-6314afbcc73e
f846b0b9-01d4-4f6d-82a4-d79204f62528;f846b0b9-01d4-4f6d-82a4-d79204f62527;Section 1.1;5;51061ce3-ddde-4d70-a2dc-6314afbcc73e
